site,taxa,N
85,Acroloxus lacustris,2
85,Ampullaceana balthica,2
85,Ancylus fluviatilis,2
85,Anisus leucostoma,2
85,Anisus vortex,2
85,Apus apus,8
85,Bathyomphalus contortus,2
85,Bithynia tentaculata,2
85,Calopteryx splendens,2
85,Euglesa casertana,2
85,Euglesa henslowana,2
85,Euglesa hibernica,2
85,Euglesa nitida,2
85,Euglesa personata,1
85,Euglesa subtruncata,2
85,Galba truncatula,1
85,Gyraulus albus,2
85,Gyraulus laevis,1
85,Physa fontinalis,2
85,Pisidium amnicum,2
85,Planorbis carinatus,2
85,Planorbis planorbis,2
85,Sphaerium corneum,2
85,Theodoxus fluviatilis,2
85,Tipula paludosa,2
85,Valvata cristata,2
85,Valvata piscinalis,2
85,Euglesa milium,1
85,Lymnaea stagnalis,1
85,Chroicocephalus ridibundus,9
85,Buteo buteo,4
85,Falco tinnunculus,6
85,Anas platyrhynchos,10
85,Carduelis carduelis,133
85,Chloris chloris,54
85,Columba palumbus,140
85,Corvus corone,30
85,Cyanistes caeruleus,135
85,Cygnus olor,5
85,Erithacus rubecula,118
85,Fringilla coelebs,75
85,Gallinula chloropus,7
85,Parus major,82
85,Passer domesticus,119
85,Periparus ater,52
85,Pica pica,51
85,Prunella modularis,114
85,Streptopelia decaocto,132
85,Sturnus vulgaris,128
85,Turdus merula,140
85,Aegithalos caudatus,30
85,Coloeus monedula,16
85,Dendrocopos major,17
85,Emberiza schoeniclus,26
85,Sylvia atricapilla,24
85,Troglodytes troglodytes,45
85,Tyto alba,5
85,Athene noctua,1
85,Certhia familiaris,4
85,Corvus frugilegus,9
85,Phylloscopus collybita,6
85,Spinus spinus,7
85,Turdus philomelos,14
85,Accipiter nisus,11
85,Motacilla alba,6
85,Aglais io,15
85,Gonepteryx rhamni,11
85,Phasianus colchicus,9
85,Polygonia c-album,6
85,Sciurus carolinensis,1
85,Turdus viscivorus,3
85,Anthocharis cardamines,4
85,Erinaceus europaeus,7
85,Picus viridis,2
85,Pyrrhula pyrrhula,28
85,Vespa crabro,3
85,Celastrina argiolus,6
85,Hirundo rustica,3
85,Rattus norvegicus,1
85,Motacilla cinerea,1
85,Ardea cinerea,3
85,Regulus regulus,6
85,Turdus iliacus,2
85,Turdus pilaris,1
85,Delichon urbicum,3
85,Emberiza citrinella,1
85,Elasmucha grisea,1
85,Harmonia axyridis,1
85,Lutra lutra,1
85,Alauda arvensis,1
85,Alectoris rufa,1
85,Phalacrocorax carbo,1
85,Erythromma najas,1
85,Curruca communis,2
85,Mustela erminea,1
85,Columba oenas,3
85,Acer pseudoplatanus,2
85,Hedera helix,2
85,Urtica dioica,2
85,Vanellus vanellus,2
85,Anthriscus sylvestris,2
85,Crataegus monogyna,2
85,Filipendula ulmaria,2
85,Galium mollugo,1
85,Geranium pyrenaicum,2
85,Lamium album,2
85,Quercus robur,2
85,Rosa canina,1
85,Tragopogon pratensis,1
85,Vicia sativa,1
85,Persicaria maculosa,1
85,Cardamine pratensis,2
85,Pieris rapae,25
85,Strix aluco,1
85,Campanula rotundifolia,1
85,Maniola jurtina,6
85,Phyllitis scolopendrium,1
85,Pteridium aquilinum,1
85,Rhinanthus minor,1
85,Aglais urticae,11
85,Bombus hypnorum,10
85,Pieris napi,1
85,Triturus cristatus,1
85,Muscardinus avellanarius,1
85,Rana temporaria,23
85,Vanessa atalanta,13
85,Vulpes vulpes,1
85,Cettia cetti,1
85,Egretta garzetta,1
85,Fulica atra,1
85,Podiceps cristatus,1
85,Apodemus sylvaticus,1
85,Impatiens glandulifera,1
85,Columba livia,2
85,Acer campestre,1
85,Acer platanoides,1
85,Achillea millefolium,1
85,Aesculus hippocastanum,1
85,Alchemilla mollis,1
85,Alliaria petiolata,1
85,Allium triquetrum,1
85,Alopecurus pratensis,1
85,Arrhenatherum elatius,1
85,Arum maculatum,1
85,Asplenium trichomanes,2
85,Atriplex patula,1
85,Bellis perennis,1
85,Borago officinalis,1
85,Bromus hordeaceus,1
85,Bromus sterilis,1
85,Bryonia dioica,1
85,Buddleja davidii,1
85,Cardamine hirsuta,1
85,Carex pendula,1
85,Carex sylvatica,1
85,Cerastium fontanum,1
85,Cerastium glomeratum,1
85,Chamerion angustifolium,1
85,Cirsium arvense,1
85,Cirsium vulgare,1
85,Clematis vitalba,1
85,Convolvulus arvensis,1
85,Cornus sanguinea,1
85,Corylus avellana,1
85,Cotoneaster horizontalis,1
85,Crataegus laevigata,1
85,Crepis vesicaria,1
85,Cymbalaria muralis,1
85,Dactylis glomerata,1
85,Deschampsia cespitosa,1
85,Dipsacus fullonum,1
85,Epilobium hirsutum,1
85,Erophila verna,1
85,Euonymus europaeus,1
85,Euphorbia peplus,1
85,Fallopia baldschuanica,1
85,Fallopia convolvulus,1
85,Ficaria verna,1
85,Fragaria vesca,1
85,Fraxinus excelsior,1
85,Galium aparine,1
85,Galium odoratum,1
85,Geranium dissectum,1
85,Geranium molle,1
85,Geranium robertianum,1
85,Geranium rotundifolium,1
85,Geum urbanum,1
85,Glechoma hederacea,1
85,Heracleum sphondylium,1
85,Holcus lanatus,1
85,Hyacinthoides non-scripta,1
85,Ilex aquifolium,1
85,Jacobaea vulgaris,1
85,Lamium purpureum,1
85,Lapsana communis,1
85,Ligustrum vulgare,1
85,Linaria purpurea,1
85,Lonicera periclymenum,1
85,Luzula campestris,1
85,Lycium barbarum,1
85,Mahonia aquifolium,1
85,Malva sylvestris,1
85,Matricaria discoidea,1
85,Medicago arabica,1
85,Medicago lupulina,1
85,Myosotis ramosissima,1
85,Myosotis sylvatica,1
85,Papaver orientale,1
85,Pentaglottis sempervirens,1
85,Pilosella aurantiaca,1
85,Pilosella officinarum,1
85,Plantago lanceolata,1
85,Poa annua,1
85,Poa pratensis,1
85,Poa trivialis,1
85,Polygonum aviculare,1
85,Potentilla reptans,1
85,Primula vulgaris,1
85,Prunella vulgaris,1
85,Prunus avium,1
85,Prunus cerasifera,1
85,Prunus lusitanica,1
85,Prunus spinosa,1
85,Pseudofumaria lutea,1
85,Ranunculus acris,1
85,Ranunculus bulbosus,1
85,Ranunculus repens,1
85,Ribes uva-crispa,1
85,Rumex crispus,1
85,Rumex obtusifolius,1
85,Sagina apetala,1
85,Sagina procumbens,1
85,Salix caprea,1
85,Sambucus nigra,1
85,Scorzoneroides autumnalis,1
85,Senecio vulgaris,1
85,Sisymbrium officinale,1
85,Solanum dulcamara,1
85,Sonchus asper,1
85,Sonchus oleraceus,1
85,Stachys sylvatica,1
85,Stellaria holostea,1
85,Stellaria media,1
85,Symphoricarpos albus,1
85,Symphytum orientale,1
85,Taxus baccata,1
85,Trifolium dubium,1
85,Trifolium pratense,1
85,Tripleurospermum inodorum,1
85,Tussilago farfara,1
85,Ulmus procera,1
85,Veronica arvensis,1
85,Veronica hederifolia,1
85,Veronica persica,1
85,Veronica polita,1
85,Veronica serpyllifolia,1
85,Viburnum lantana,1
85,Viburnum opulus,1
85,Viola reichenbachiana,1
85,Viola riviniana,1
85,Pieris brassicae,9
85,Vanessa cardui,4
85,Asplenium ruta-muraria,1
85,Ceterach officinarum,1
85,Erigeron karvinskianus,1
85,Senecio squalidus,1
85,Lilioceris lilii,2
85,Philaenus spumarius,1
85,Aphantopus hyperantus,1
85,Pyronia tithonus,1
85,Anax imperator,1
85,Macroglossum stellatarum,1
85,Talpa europaea,1
85,Bombus lapidarius,1
85,Chrysolina americana,1
85,Lucanus cervus,1
86,Accipiter nisus,127
86,Carduelis carduelis,240
86,Chloris chloris,238
86,Coloeus monedula,200
86,Columba livia,34
86,Columba palumbus,239
86,Corvus corone,189
86,Cyanistes caeruleus,240
86,Dendrocopos major,177
86,Erithacus rubecula,238
86,Fringilla coelebs,239
86,Garrulus glandarius,104
86,Motacilla alba,39
86,Parus major,240
86,Passer domesticus,224
86,Periparus ater,231
86,Pica pica,238
86,Prunella modularis,239
86,Pyrrhula pyrrhula,105
86,Streptopelia decaocto,217
86,Sturnus vulgaris,184
86,Sylvia atricapilla,82
86,Troglodytes troglodytes,161
86,Turdus merula,237
86,Aegithalos caudatus,174
86,Regulus regulus,31
86,Turdus philomelos,80
86,Corvus frugilegus,60
86,Anacaena limbata,1
86,Helophorus grandis,1
86,Helophorus minutus,1
86,Hydroporus planus,1
86,Spinus spinus,21
86,Coccinella septempunctata,3
86,Eriothrix rufomaculata,2
86,Propylea quattuordecimpunctata,1
86,Siphona geniculata,2
86,Strix aluco,3
86,Tytthaspis sedecimpunctata,1
86,Turdus viscivorus,7
86,Chroicocephalus ridibundus,39
86,Turdus iliacus,17
86,Sitta europaea,86
86,Turdus pilaris,14
86,Icterus galbula,1
86,Columba oenas,82
86,Acer campestre,2
86,Acer platanoides,1
86,Alliaria petiolata,3
86,Anthriscus sylvestris,3
86,Arrhenatherum elatius,1
86,Arum maculatum,3
86,Carex otrubae,1
86,Carex pendula,2
86,Carex sylvatica,1
86,Circaea lutetiana,2
86,Cornus sanguinea,1
86,Corylus avellana,2
86,Crataegus monogyna,2
86,Epilobium hirsutum,2
86,Festuca gigantea,1
86,Fraxinus excelsior,2
86,Galium aparine,4
86,Geranium robertianum,4
86,Geum urbanum,2
86,Hedera helix,2
86,Heracleum sphondylium,3
86,Holcus lanatus,1
86,Humulus lupulus,1
86,Hyacinthoides hispanica,2
86,Ilex aquifolium,2
86,Lapsana communis,3
86,Ligustrum vulgare,1
86,Lonicera japonica,1
86,Lonicera periclymenum,2
86,Malus pumila,1
86,Mercurialis perennis,2
86,Poa trivialis,1
86,Potentilla anserina,1
86,Potentilla reptans,3
86,Prunella vulgaris,2
86,Prunus avium,2
86,Prunus spinosa,1
86,Quercus robur,1
86,Ranunculus circinatus,1
86,Ranunculus repens,2
86,Rhamnus cathartica,1
86,Rosa arvensis,1
86,Rubus caesius,1
86,Salix cinerea,1
86,Sambucus nigra,2
86,Solanum dulcamara,2
86,Stachys sylvatica,2
86,Symphoricarpos albus,1
86,Taxus baccata,2
86,Urtica dioica,2
86,Picus viridis,22
86,Adalia bipunctata,1
86,Emberiza citrinella,1
86,Inula conyzae,1
86,Sciurus carolinensis,67
86,Buteo buteo,6
86,Ardea cinerea,1
86,Gonepteryx rhamni,11
86,Hirundo rustica,5
86,Pieris rapae,20
86,Vanessa atalanta,8
86,Apodemus sylvaticus,5
86,Apus apus,22
86,Delichon urbicum,9
86,Rana temporaria,12
86,Rattus norvegicus,11
86,Lydella stabulans,1
86,Phania funesta,1
86,Passer montanus,2
86,Erinaceus europaeus,21
86,Oryctolagus cuniculus,1
86,Fringilla montifringilla,4
86,Aglais io,7
86,Aglais urticae,5
86,Anthocharis cardamines,4
86,Pararge aegeria,8
86,Talpa europaea,2
86,Pieris brassicae,8
86,Vanessa cardui,1
86,Halyzia sedecimguttata,2
86,Harmonia axyridis,5
86,Pyronia tithonus,9
86,Vulpes vulpes,11
86,Adalia decempunctata,1
86,Bombus terrestris,26
86,Celastrina argiolus,7
86,Maniola jurtina,2
86,Phasianus colchicus,9
86,Muntiacus reevesi,5
86,Bombus lapidarius,21
86,Bombus pascuorum,37
86,Apis mellifera,43
86,Bombus hortorum,4
86,Bombus hypnorum,29
86,Certhia familiaris,1
86,Bombus rupestris,3
86,Bombus campestris,1
86,Bombus ruderarius,1
86,Polygonia c-album,1
86,Lilioceris lilii,8
86,Phylloscopus collybita,6
86,Emberiza schoeniclus,1
86,Chrysolina americana,2
86,Bombus pratorum,21
86,Bombus vestalis,9
86,Triturus cristatus,5
86,Buddleja davidii,1
86,Convolvulus arvensis,2
86,Deroceras reticulatum,1
86,Elytrigia repens,1
86,Epilobium montanum,1
86,Legnotus limbosus,1
86,Palomena prasina,2
86,Andrena haemorrhoa,1
86,Anthonomus rubi,1
86,Bellis perennis,3
86,Jacobaea vulgaris,1
86,Trifolium repens,3
86,Trochulus striolatus,1
86,Vespa crabro,1
86,Colletes hederae,1
86,Dorcus parallelipipedus,2
86,Lucanus cervus,1
86,Bombus bohemicus,1
86,Oenanthe oenanthe,1
86,Achillea millefolium,2
86,Artemisia vulgaris,1
86,Campanula portenschlagiana,1
86,Capsella bursa-pastoris,1
86,Cerastium glomeratum,1
86,Chelidonium majus,2
86,Cirsium vulgare,2
86,Claytonia perfoliata,1
86,Erophila verna,1
86,Euphorbia peplus,1
86,Ficaria verna,1
86,Galanthus nivalis,1
86,Geranium molle,1
86,Geranium rotundifolium,2
86,Iris foetidissima,2
86,Lamium album,2
86,Lamium purpureum,2
86,Leucanthemum vulgare,2
86,Lunaria annua,2
86,Matricaria discoidea,1
86,Medicago lupulina,2
86,Pentaglottis sempervirens,2
86,Plantago lanceolata,2
86,Plantago major,2
86,Ranunculus bulbosus,2
86,Rumex obtusifolius,2
86,Senecio vulgaris,1
86,Sherardia arvensis,1
86,Sonchus oleraceus,1
86,Stellaria media,1
86,Symphytum orientale,1
86,Veronica arvensis,2
86,Veronica chamaedrys,1
86,Veronica hederifolia,2
86,Veronica persica,2
86,Vicia sativa,2
86,Viola reichenbachiana,1
86,Viola riviniana,2
86,Acer pseudoplatanus,1
86,Aegopodium podagraria,1
86,Allium triquetrum,1
86,Allium ursinum,1
86,Alopecurus pratensis,1
86,Arum italicum,1
86,Ballota nigra,1
86,Brachypodium sylvaticum,1
86,Bromus hordeaceus,1
86,Bromus sterilis,1
86,Bryonia dioica,1
86,Buxus sempervirens,1
86,Campanula poscharskyana,1
86,Cardamine flexuosa,1
86,Cardamine hirsuta,1
86,Cardamine pratensis,1
86,Centranthus ruber,1
86,Cerastium fontanum,1
86,Cirsium arvense,1
86,Crepis vesicaria,1
86,Cymbalaria muralis,1
86,Dactylis glomerata,1
86,Daucus carota,1
86,Eranthis hyemalis,1
86,Fagus sylvatica,2
86,Festuca arundinacea,1
86,Fragaria vesca,1
86,Galium verum,1
86,Geranium dissectum,1
86,Geranium lucidum,1
86,Geranium pyrenaicum,1
86,Glechoma hederacea,1
86,Hyacinthoides non-scripta,1
86,Juncus inflexus,1
86,Lamiastrum galeobdolon,1
86,Lathyrus pratensis,1
86,Lotus corniculatus,1
86,Luzula campestris,1
86,Medicago arabica,1
86,Melissa officinalis,1
86,Mentha spicata,1
86,Myosotis sylvatica,1
86,Origanum vulgare,1
86,Ornithogalum umbellatum,1
86,Oxalis exilis,1
86,Parietaria judaica,1
86,Persicaria amphibia,1
86,Phyllitis scolopendrium,1
86,Primula vulgaris,1
86,Prunus padus,1
86,Pseudofumaria lutea,1
86,Ranunculus acris,1
86,Rumex acetosa,1
86,Rumex crispus,1
86,Rumex sanguineus,1
86,Sedum album,1
86,Sisymbrium officinale,1
86,Soleirolia soleirolii,1
86,Sonchus arvensis,1
86,Symphytum grandiflorum,1
86,Tanacetum parthenium,1
86,Tanacetum vulgare,1
86,Thalictrum minus,1
86,Trifolium dubium,1
86,Trifolium pratense,1
86,Valerianella carinata,1
86,Veronica montana,1
86,Vicia sepium,1
86,Vinca major,1
86,Viola odorata,1
86,Mycelis muralis,1
86,Aesculus hippocastanum,1
86,Crocus tommasinianus,1
86,Anthophora plumipes,3
86,Osmia bicornis,1
86,Aristolochia clematitis,1
86,Pieris napi,1
86,Capreolus capreolus,1
86,Philaenus spumarius,1
86,Cydalima perspectalis,5
86,Anax imperator,1
86,Heterarthrus vagans,1
86,Dolycoris baccarum,1
86,Libellula depressa,1
86,Andrena cineraria,1
86,Chorthippus albomarginatus,1
86,Chorthippus brunneus,1
86,Rhagonycha fulva,1
86,Sympetrum striolatum,1
86,Lepus europaeus,1
86,Plecotus auritus,1
86,Anacamptis pyramidalis,1
86,Ophrys apifera,1
87,Aegithalos caudatus,191
87,Carduelis carduelis,182
87,Chloris chloris,178
87,Columba palumbus,210
87,Cyanistes caeruleus,240
87,Erithacus rubecula,227
87,Fringilla coelebs,202
87,Parus major,238
87,Passer domesticus,165
87,Periparus ater,199
87,Pica pica,209
87,Prunella modularis,213
87,Pyrrhula pyrrhula,71
87,Spinus spinus,14
87,Streptopelia decaocto,213
87,Sturnus vulgaris,141
87,Sylvia atricapilla,126
87,Troglodytes troglodytes,181
87,Turdus iliacus,51
87,Turdus merula,235
87,Turdus philomelos,99
87,Regulus regulus,91
87,Accipiter nisus,29
87,Brachythecium rutabulum,2
87,Bryum capillare,2
87,Calliergonella cuspidata,2
87,Ceratodon purpureus,1
87,Funaria hygrometrica,2
87,Homalothecium sericeum,1
87,Hypnum cupressiforme,2
87,Kindbergia praelonga,1
87,Lewinskya affinis,2
87,Orthotrichum diaphanum,2
87,Pellia endiviifolia,1
87,Theodoxus fluviatilis,2
87,Strix aluco,13
87,Corvus corone,149
87,Piscicola geometra,3
87,Aeshna grandis,6
87,Achillea millefolium,17
87,Artemisia vulgaris,19
87,Cirsium arvense,21
87,Cymbalaria muralis,5
87,Daucus carota,12
87,Glyceria maxima,9
87,Heracleum sphondylium,19
87,Hypochaeris radicata,3
87,Impatiens capensis,8
87,Lamium album,19
87,Lathyrus pratensis,15
87,Lolium perenne,10
87,Lycopus europaeus,8
87,Lythrum salicaria,9
87,Myriophyllum spicatum,1
87,Nuphar lutea,1
87,Nymphoides peltata,1
87,Phragmites australis,10
87,Plantago lanceolata,17
87,Potentilla anserina,7
87,Ranunculus repens,20
87,Rumex hydrolapathum,2
87,Schoenoplectus lacustris,1
87,Scutellaria galericulata,6
87,Sparganium emersum,1
87,Sparganium erectum,1
87,Trifolium pratense,15
87,Tussilago farfara,3
87,Chroicocephalus ridibundus,38
87,Garrulus glandarius,101
87,Motacilla alba,15
87,Turdus viscivorus,12
87,Dendrocopos major,90
87,Emberiza schoeniclus,65
87,Actitis hypoleucos,1
87,Plagiodera versicolora,1
87,Sterna hirundo,9
87,Curruca communis,11
87,Delichon urbicum,7
87,Hirundo rustica,36
87,Lilioceris lilii,11
87,Certhia familiaris,8
87,Agrostis capillaris,2
87,Agrostis stolonifera,2
87,Alopecurus pratensis,3
87,Arrhenatherum elatius,15
87,Bromus commutatus,1
87,Calopteryx splendens,10
87,Carex hirta,2
87,Coenagrion puella,10
87,Cynosurus cristatus,8
87,Dactylis glomerata,19
87,Deschampsia cespitosa,3
87,Enallagma cyathigerum,9
87,Equisetum arvense,4
87,Erythromma najas,5
87,Festuca arundinacea,2
87,Festuca pratensis,1
87,Festuca rubra,3
87,Geranium dissectum,16
87,Holcus lanatus,9
87,Hordeum secalinum,1
87,Ischnura elegans,8
87,Leucanthemum vulgare,15
87,Lotus corniculatus,10
87,Orthetrum cancellatum,1
87,Phalaris arundinacea,3
87,Phleum pratense,5
87,Platycnemis pennipes,3
87,Poa trivialis,6
87,Potentilla reptans,17
87,Ranunculus acris,13
87,Ranunculus bulbosus,11
87,Trifolium dubium,4
87,Trifolium repens,18
87,Trisetum flavescens,1
87,Vicia cracca,4
87,Aeshna juncea,1
87,Sympetrum striolatum,8
87,Fringilla montifringilla,2
87,Phylloscopus collybita,64
87,Acrocephalus schoenobaenus,11
87,Locustella naevia,3
87,Phylloscopus sibilatrix,1
87,Phylloscopus trochilus,8
87,Apus apus,52
87,Cuculus canorus,5
87,Curruca curruca,2
87,Coccinella septempunctata,15
87,Impatiens glandulifera,11
87,Adalia bipunctata,7
87,Adalia decempunctata,4
87,Calvia quattuordecimguttata,2
87,Chelicorophium curvispinum,4
87,Kageronia fuscogrisea,1
87,Potamopyrgus antipodarum,3
87,Pseudanodonta complanata,2
87,Tyto alba,1
87,Coreus marginatus,8
87,Elasmostethus interstinctus,3
87,Elasmucha grisea,1
87,Legnotus limbosus,1
87,Podops inuncta,2
87,Rhopalus subrufus,4
87,Tritomegas bicolor,2
87,Dolycoris baccarum,5
87,Palomena prasina,7
87,Anser anser,28
87,Harmonia axyridis,21
87,Pacifastacus leniusculus,3
87,Alcedo atthis,12
87,Buteo buteo,40
87,Cettia cetti,4
87,Motacilla cinerea,13
87,Podiceps cristatus,2
87,Aelia acuminata,1
87,Propylea quattuordecimpunctata,9
87,Stictopleurus abutilon,1
87,Acanthosoma haemorrhoidale,6
87,Limnephilus flavicornis,1
87,Anas platyrhynchos,37
87,Ardea cinerea,29
87,Branta canadensis,27
87,Columba livia,28
87,Cygnus olor,20
87,Fulica atra,13
87,Gallinula chloropus,25
87,Phasianus colchicus,20
87,Larus fuscus,14
87,Picus viridis,38
87,Turdus pilaris,13
87,Acanthis cabaret,5
87,Anthus pratensis,7
87,Coloeus monedula,45
87,Psittacula krameri,6
87,Rattus norvegicus,21
87,Riparia riparia,1
87,Rana temporaria,105
87,Erinaceus europaeus,31
87,Muscicapa striata,1
87,Aglais io,33
87,Falco tinnunculus,20
87,Pieris brassicae,43
87,Sciurus carolinensis,114
87,Aythya fuligula,2
87,Phalacrocorax carbo,20
87,Rallus aquaticus,1
87,Bombycilla garrulus,9
87,Gallinago gallinago,5
87,Larus argentatus,19
87,Sylvia borin,4
87,Sitta europaea,41
87,Mergus merganser,3
87,Amblystegium serpens,1
87,Dicranoweisia cirrata,1
87,Haematopus ostralegus,1
87,Lewinskya striata,1
87,Callimorpha dominula,3
87,Habrosyne pyritoides,1
87,Chilocorus renipustulatus,2
87,Colocasia coryli,1
87,Gomphus vulgatissimus,2
87,Peribatodes rhomboidaria,1
87,Pulicaria dysenterica,7
87,Abrostola tripartita,1
87,Agrotis segetum,1
87,Anarta trifolii,1
87,Autographa gamma,2
87,Ochropleura plecta,1
87,Patania ruralis,1
87,Thalpophila matura,1
87,Odhneripisidium tenuilineatum,1
87,Vulpes vulpes,21
87,Brachythecium mildeanum,1
87,Bryum argenteum,1
87,Bryum dichotomum,1
87,Didymodon fallax,1
87,Frullania dilatata,1
87,Grimmia pulvinata,1
87,Hygroamblystegium varium,1
87,Orthotrichum cupulatum,1
87,Syntrichia montana,1
87,Tortula muralis,1
87,Aythya marila,1
87,Tachybaptus ruficollis,1
87,Alliaria petiolata,19
87,Anas crecca,1
87,Angelica sylvestris,12
87,Anthriscus sylvestris,21
87,Arum maculatum,15
87,Ballota nigra,21
87,Cardamine pratensis,8
87,Carex pendula,9
87,Columba oenas,8
87,Conium maculatum,16
87,Dipsacus fullonum,18
87,Ficaria verna,14
87,Filipendula ulmaria,10
87,Galanthus nivalis,12
87,Galium aparine,20
87,Geranium robertianum,13
87,Geum urbanum,22
87,Glechoma hederacea,18
87,Hedera helix,22
87,Reseda luteola,12
87,Ribes nigrum,6
87,Rumex obtusifolius,18
87,Sambucus nigra,20
87,Acer campestre,11
87,Aesculus hippocastanum,11
87,Bellis perennis,15
87,Crataegus monogyna,19
87,Fraxinus excelsior,19
87,Humulus lupulus,14
87,Ilex aquifolium,14
87,Mahonia aquifolium,1
87,Prunus spinosa,14
87,Urtica dioica,18
87,Viola odorata,14
87,Anthocharis cardamines,22
87,Apodemus sylvaticus,17
87,Bufo bufo,21
87,Celastrina argiolus,47
87,Pararge aegeria,56
87,Pieris rapae,57
87,Vanessa atalanta,55
87,Gonepteryx rhamni,26
87,Korscheltellus lupulina,1
87,Pyrrhosoma nymphula,9
87,Acrocephalus scirpaceus,6
87,Aglais urticae,29
87,Aphantopus hyperantus,11
87,Bombus hypnorum,3
87,Maniola jurtina,19
87,Polygonia c-album,38
87,Carex otrubae,13
87,Carex remota,12
87,Elodea nuttallii,1
87,Festuca gigantea,8
87,Macroglossum stellatarum,8
87,Pyronia tithonus,17
87,Limacus maculatus,2
87,Psyllobora vigintiduopunctata,1
87,Syntrichia papillosa,1
87,Acer pseudoplatanus,12
87,Alchemilla mollis,1
87,Alnus glutinosa,4
87,Aquilegia vulgaris,5
87,Arctium lappa,4
87,Aubrieta deltoidea,1
87,Bergenia crassifolia,1
87,Buddleja davidii,4
87,Campanula poscharskyana,3
87,Cerastium tomentosum,1
87,Chaenomeles speciosa,1
87,Corylus avellana,12
87,Cotoneaster franchetii,1
87,Cynara cardunculus,1
87,Digitalis purpurea,9
87,Epilobium hirsutum,9
87,Geranium macrorrhizum,1
87,Hypericum calycinum,2
87,Lapsana communis,8
87,Laurus nobilis,1
87,Lavandula angustifolia,1
87,Leucojum aestivum,1
87,Ligustrum ovalifolium,8
87,Linaria purpurea,2
87,Lonicera japonica,1
87,Luzula sylvatica,1
87,Parietaria judaica,4
87,Populus nigra,1
87,Prunus laurocerasus,1
87,Pyracantha coccinea,1
87,Rosmarinus officinalis,1
87,Sisyrinchium striatum,1
87,Symphoricarpos albus,1
87,Taxus baccata,4
87,Verbascum speciosum,1
87,Muntiacus reevesi,21
87,Allium ursinum,6
87,Capsella bursa-pastoris,13
87,Cirsium vulgare,17
87,Cornus sanguinea,7
87,Eranthis hyemalis,9
87,Geranium rotundifolium,6
87,Lamium purpureum,14
87,Ligustrum vulgare,5
87,Malva sylvestris,16
87,Medicago arabica,11
87,Myosotis sylvatica,16
87,Pentaglottis sempervirens,14
87,Plantago major,17
87,Prunus cerasifera,6
87,Prunus padus,7
87,Rhamnus cathartica,3
87,Ribes uva-crispa,4
87,Rumex sanguineus,15
87,Senecio vulgaris,16
87,Sisymbrium officinale,16
87,Stachys sylvatica,18
87,Veronica hederifolia,15
87,Viburnum opulus,9
87,Arabidopsis thaliana,6
87,Barbarea vulgaris,5
87,Betula pendula,10
87,Brassica rapa,6
87,Bryonia dioica,16
87,Cardamine flexuosa,7
87,Cardamine hirsuta,12
87,Carduus crispus,13
87,Carex riparia,5
87,Cerastium fontanum,17
87,Clematis vitalba,9
87,Fallopia japonica,6
87,Galium palustre,7
87,Hypericum hirsutum,6
87,Hypericum perforatum,9
87,Iris pseudacorus,8
87,Isatis tinctoria,8
87,Lepidium draba,9
87,Lycium barbarum,4
87,Mentha aquatica,9
87,Myosotis arvensis,13
87,Myosoton aquaticum,5
87,Oenanthe crocata,6
87,Primula vulgaris,10
87,Rumex crispus,12
87,Scrophularia auriculata,12
87,Silene latifolia,13
87,Solanum dulcamara,17
87,Symphytum orientale,12
87,Verbascum thapsus,10
87,Veronica chamaedrys,12
87,Veronica persica,13
87,Armoracia rusticana,8
87,Brassica napus,2
87,Cerastium glomeratum,6
87,Geranium molle,11
87,Geranium pusillum,8
87,Geranium pyrenaicum,13
87,Hordeum murinum,6
87,Impatiens parviflora,4
87,Knautia arvensis,3
87,Laburnum anagyroides,8
87,Matricaria discoidea,9
87,Medicago lupulina,13
87,Persicaria amphibia,13
87,Phylloscopus nitidus,1
87,Polygonum aviculare,11
87,Primula veris,10
87,Prunella vulgaris,12
87,Reseda lutea,1
87,Rhinanthus minor,9
87,Rumex acetosa,9
87,Saponaria officinalis,5
87,Silene dioica,8
87,Sonchus asper,12
87,Sonchus oleraceus,10
87,Stellaria media,9
87,Thalictrum flavum,5
87,Trifolium campestre,8
87,Veronica arvensis,14
87,Veronica serpyllifolia,8
87,Vicia sativa,14
87,Aegopodium podagraria,7
87,Arenaria serpyllifolia,1
87,Carex acutiformis,6
87,Convolvulus arvensis,10
87,Crepis vesicaria,5
87,Eupatorium cannabinum,8
87,Odontites vernus,8
87,Papaver rhoeas,3
87,Papaver somniferum,4
87,Pilosella officinarum,1
87,Rumex conglomeratus,4
87,Sonchus arvensis,4
87,Stachys palustris,7
87,Tragopogon pratensis,5
87,Valeriana officinalis,4
87,Valerianella carinata,7
87,Valerianella locusta,3
87,Aethusa cynapium,2
87,Agrimonia eupatoria,8
87,Calystegia sepium,11
87,Calystegia silvatica,10
87,Chrysolina americana,3
87,Circaea lutetiana,11
87,Crepis capillaris,4
87,Elytrigia repens,5
87,Epilobium parviflorum,1
87,Geranium pratense,7
87,Pastinaca sativa,3
87,Torilis japonica,8
87,Brachypodium sylvaticum,6
87,Galium mollugo,6
87,Mentha spicata,7
87,Myosotis scorpioides,3
87,Origanum vulgare,9
87,Rubus caesius,4
87,Sinapis arvensis,7
87,Symphytum officinale,8
87,Solidago canadensis,6
87,Vanessa cardui,14
87,Scorzoneroides autumnalis,1
87,Apis mellifera,4
87,Malus pumila,2
