TP,site,N
2015,232,4
2016,232,2
2017,232,4
2018,232,6
2019,232,7
2020,232,6
2021,232,3
2022,232,2
2000,233,12
2001,233,12
2002,233,9
2003,233,12
2004,233,12
2005,233,9
2006,233,11
2007,233,11
2008,233,12
2009,233,12
2010,233,10
2011,233,9
2012,233,8
2013,233,6
2014,233,7
2015,233,8
2016,233,10
2017,233,10
2018,233,8
2019,233,12
2020,233,5
2021,233,8
2022,233,7
2003,234,7
2004,234,10
2006,234,5
2007,234,1
2008,234,3
2009,234,8
2010,234,4
2011,234,8
2012,234,12
2013,234,12
2014,234,12
2015,234,11
2016,234,12
2017,234,12
2018,234,12
2019,234,12
2020,234,6
2021,234,2
2022,234,2
2001,235,11
2002,235,12
2003,235,12
2004,235,12
2005,235,12
2006,235,12
2007,235,12
2008,235,12
2009,235,12
2010,235,12
2011,235,12
2012,235,12
2013,235,12
2014,235,12
2015,235,7
2016,235,9
2017,235,6
2018,235,7
2019,235,8
2020,235,6
2021,235,8
2022,235,8
2003,236,1
2004,236,1
2005,236,1
2006,236,1
2007,236,2
2008,236,2
2009,236,3
2010,236,3
2011,236,2
2012,236,3
2013,236,4
2014,236,1
2015,236,8
2016,236,4
2017,236,5
2018,236,6
2019,236,7
2020,236,2
2021,236,2
2022,236,1
2000,237,1
2002,237,1
2004,237,1
2005,237,3
2006,237,5
2007,237,5
2008,237,4
2009,237,12
2010,237,12
2011,237,11
2012,237,12
2013,237,7
2014,237,6
2015,237,11
2016,237,9
2017,237,8
2018,237,5
2019,237,9
2020,237,3
2021,237,2
2000,238,1
2004,238,12
2005,238,12
2006,238,12
2007,238,12
2008,238,12
2009,238,4
2010,238,2
2011,238,5
2012,238,3
2013,238,2
2014,238,1
2015,238,5
2016,238,3
2017,238,5
2018,238,10
2019,238,6
2020,238,8
2021,238,8
2000,239,12
2001,239,12
2002,239,12
2003,239,12
2004,239,12
2005,239,12
2006,239,12
2007,239,12
2008,239,12
2009,239,12
2010,239,12
2011,239,12
2012,239,12
2013,239,12
2014,239,12
2015,239,12
2016,239,12
2017,239,12
2018,239,12
2019,239,12
2020,239,8
2021,239,7
2022,239,6
2008,242,1
2009,242,2
2010,242,9
2011,242,7
2012,242,2
2013,242,2
2014,242,6
2015,242,9
2016,242,3
2017,242,3
2018,242,1
2019,242,3
2020,242,5
2021,242,1
2000,243,1
2001,243,1
2002,243,8
2003,243,7
2004,243,3
2005,243,5
2006,243,9
2007,243,4
2008,243,8
2009,243,7
2010,243,4
2011,243,3
2012,243,2
2013,243,3
2015,243,6
2016,243,2
2017,243,3
2018,243,6
2019,243,5
2020,243,2
2021,243,1
2000,244,3
2001,244,2
2002,244,4
2003,244,4
2004,244,2
2005,244,3
2006,244,3
2007,244,6
2008,244,12
2009,244,10
2010,244,10
2011,244,11
2012,244,10
2013,244,8
2014,244,10
2015,244,10
2016,244,10
2017,244,12
2018,244,12
2019,244,11
2020,244,4
2021,244,7
2022,244,5
2000,245,4
2001,245,2
2005,245,2
2007,245,2
2008,245,2
2009,245,2
2010,245,3
2011,245,1
2012,245,2
2014,245,1
2015,245,9
2016,245,11
2017,245,10
2018,245,6
2019,245,10
2021,245,2
2022,245,1
2001,246,1
2002,246,1
2010,246,1
2013,246,1
2014,246,3
2015,246,1
2017,246,2
2018,246,1
2019,246,2
2022,246,1
2000,247,12
2001,247,12
2002,247,12
2003,247,12
2004,247,12
2005,247,12
2006,247,12
2007,247,12
2008,247,12
2009,247,12
2010,247,12
2011,247,12
2012,247,12
2013,247,6
2016,247,1
2017,247,4
2018,247,5
2019,247,2
2020,247,3
2021,247,4
2000,248,1
2002,248,7
2003,248,12
2004,248,12
2005,248,11
2006,248,5
2007,248,5
2008,248,6
2009,248,4
2010,248,9
2011,248,9
2012,248,4
2013,248,7
2014,248,4
2015,248,7
2016,248,5
2017,248,9
2018,248,9
2019,248,9
2020,248,8
2021,248,6
2022,248,4
2007,249,3
2008,249,7
2009,249,6
2010,249,4
2011,249,3
2012,249,3
2013,249,12
2014,249,11
2015,249,4
2016,249,2
2017,249,3
2018,249,2
2019,249,3
2020,249,3
2021,249,1
2022,249,1
2000,250,12
2001,250,12
2002,250,12
2003,250,12
2004,250,12
2005,250,12
2006,250,12
2007,250,12
2008,250,12
2009,250,12
2010,250,12
2011,250,12
2012,250,12
2013,250,12
2014,250,12
2015,250,12
2016,250,12
2017,250,12
2018,250,12
2019,250,12
2020,250,12
2021,250,11
2022,250,12
2000,252,12
2001,252,12
2002,252,12
2003,252,12
2004,252,12
2005,252,12
2006,252,12
2007,252,12
2008,252,12
2009,252,12
2010,252,12
2011,252,12
2012,252,12
2013,252,12
2014,252,12
2015,252,12
2016,252,12
2017,252,12
2018,252,12
2019,252,12
2020,252,8
2021,252,8
2022,252,7
2000,253,3
2001,253,3
2002,253,1
2005,253,3
2006,253,4
2007,253,3
2008,253,6
2009,253,10
2010,253,8
2011,253,9
2012,253,11
2013,253,12
2014,253,12
2015,253,11
2016,253,10
2017,253,11
2018,253,10
2019,253,9
2020,253,4
2021,253,6
2022,253,7
2000,254,2
2004,254,1
2005,254,1
2006,254,8
2007,254,8
2008,254,11
2009,254,8
2010,254,9
2011,254,9
2012,254,10
2013,254,8
2014,254,8
2015,254,5
2016,254,7
2017,254,9
2018,254,12
2019,254,8
2020,254,3
2021,254,2
2022,254,5
2000,255,10
2001,255,10
2002,255,10
2003,255,9
2004,255,9
2005,255,7
2006,255,6
2007,255,7
2008,255,5
2009,255,4
2010,255,3
2011,255,1
2012,255,12
2013,255,12
2014,255,12
2015,255,12
2016,255,9
2017,255,6
2018,255,7
2019,255,4
2020,255,5
2021,255,7
2022,255,7
2000,256,12
2001,256,12
2002,256,12
2003,256,12
2004,256,12
2005,256,12
2006,256,12
2007,256,12
2008,256,12
2009,256,12
2010,256,12
2011,256,12
2012,256,12
2013,256,12
2014,256,12
2015,256,12
2016,256,12
2017,256,12
2018,256,12
2019,256,12
2020,256,10
2021,256,7
2022,256,6
2000,257,10
2001,257,12
2002,257,4
2003,257,3
2004,257,4
2005,257,3
2006,257,12
2007,257,12
2008,257,12
2009,257,12
2010,257,12
2011,257,12
2012,257,12
2013,257,12
2014,257,12
2015,257,12
2016,257,12
2017,257,12
2018,257,12
2019,257,12
2020,257,7
2021,257,10
2022,257,8
2000,258,5
2001,258,2
2002,258,6
2003,258,6
2004,258,12
2005,258,12
2006,258,12
2007,258,12
2008,258,12
2009,258,12
2010,258,12
2011,258,12
2012,258,12
2013,258,12
2014,258,12
2015,258,12
2016,258,12
2017,258,12
2018,258,12
2019,258,12
2020,258,10
2021,258,10
2022,258,11
2000,259,5
2001,259,4
2002,259,3
2003,259,5
2004,259,5
2005,259,5
2006,259,4
2007,259,12
2008,259,12
2009,259,9
2010,259,9
2011,259,11
2012,259,9
2013,259,7
2014,259,7
2015,259,8
2016,259,10
2017,259,12
2018,259,11
2019,259,12
2020,259,4
2021,259,5
2022,259,1
2000,260,2
2001,260,11
2002,260,2
2003,260,6
2004,260,2
2005,260,2
2006,260,1
2007,260,4
2008,260,3
2009,260,2
2010,260,4
2011,260,5
2012,260,1
2013,260,11
2014,260,12
2015,260,5
2016,260,3
2017,260,2
2018,260,3
2019,260,6
2020,260,4
2021,260,3
2022,260,1
2000,261,1
2001,261,1
2002,261,3
2003,261,2
2004,261,2
2005,261,9
2006,261,12
2007,261,12
2008,261,12
2009,261,12
2010,261,12
2011,261,11
2012,261,11
2013,261,10
2014,261,11
2015,261,11
2016,261,9
2017,261,10
2018,261,11
2019,261,11
2020,261,9
2021,261,9
2022,261,11
2000,263,12
2001,263,12
2002,263,12
2003,263,12
2004,263,12
2005,263,12
2006,263,12
2007,263,12
2008,263,12
2009,263,12
2010,263,12
2011,263,12
2012,263,12
2013,263,12
2014,263,12
2015,263,12
2016,263,12
2017,263,12
2018,263,12
2019,263,12
2020,263,5
2021,263,7
2022,263,4
2000,264,5
2001,264,9
2002,264,4
2005,264,2
2006,264,3
2007,264,1
2008,264,3
2009,264,2
2010,264,8
2011,264,5
2012,264,6
2013,264,3
2014,264,2
2015,264,3
2016,264,3
2017,264,1
2018,264,4
2019,264,2
2020,264,4
2021,264,4
2022,264,1
2000,265,3
2001,265,4
2002,265,10
2003,265,11
2004,265,9
2005,265,12
2006,265,12
2007,265,12
2008,265,12
2009,265,12
2010,265,12
2011,265,11
2012,265,12
2013,265,12
2014,265,6
2015,265,6
2016,265,5
2017,265,12
2018,265,12
2019,265,12
2020,265,7
2021,265,8
2022,265,3
2000,268,12
2001,268,12
2002,268,12
2003,268,12
2004,268,12
2005,268,12
2006,268,12
2007,268,9
2008,268,12
2009,268,12
2010,268,12
2011,268,12
2012,268,12
2013,268,12
2014,268,12
2015,268,12
2016,268,10
2017,268,10
2018,268,12
2019,268,12
2020,268,6
2021,268,5
2022,268,5
2000,269,2
2001,269,1
2002,269,2
2003,269,6
2004,269,11
2005,269,5
2006,269,1
2007,269,7
2008,269,11
2009,269,10
2010,269,8
2011,269,11
2012,269,8
2013,269,6
2014,269,8
2015,269,7
2016,269,8
2017,269,6
2018,269,9
2019,269,9
2020,269,6
2021,269,5
2022,269,2
2000,270,5
2001,270,3
2002,270,3
2003,270,1
2004,270,6
2005,270,12
2006,270,11
2007,270,9
2008,270,8
2009,270,7
2010,270,4
2011,270,10
2012,270,3
2013,270,7
2014,270,4
2015,270,5
2016,270,4
2017,270,4
2018,270,4
2019,270,4
2020,270,3
2021,270,2
2022,270,1
2000,274,1
2001,274,3
2002,274,3
2003,274,4
2006,274,1
2007,274,2
2008,274,2
2009,274,4
2010,274,1
2011,274,2
2012,274,1
2013,274,1
2014,274,2
2017,274,2
2018,274,1
2019,274,5
2020,274,2
2021,274,1
2022,274,1
2000,276,1
2001,276,1
2003,276,2
2005,276,2
2007,276,1
2008,276,1
2009,276,3
2010,276,3
2011,276,4
2012,276,2
2013,276,3
2014,276,1
2016,276,1
2017,276,1
2018,276,4
2019,276,3
2020,276,2
2021,276,4
2000,277,2
2001,277,2
2002,277,7
2003,277,7
2004,277,10
2005,277,9
2006,277,9
2007,277,3
2008,277,6
2009,277,12
2010,277,12
2011,277,12
2012,277,12
2013,277,12
2014,277,12
2015,277,12
2016,277,12
2017,277,12
2018,277,12
2019,277,12
2020,277,3
2021,277,4
2022,277,3
2000,278,1
2001,278,2
2002,278,1
2008,278,2
2009,278,1
2014,278,1
2015,278,2
2016,278,1
2017,278,1
2019,278,2
2020,278,2
2021,278,2
2000,279,2
2001,279,5
2002,279,12
2003,279,12
2004,279,12
2005,279,12
2006,279,12
2007,279,12
2008,279,12
2009,279,12
2010,279,12
2011,279,12
2012,279,12
2013,279,12
2014,279,12
2015,279,12
2016,279,12
2017,279,12
2018,279,12
2019,279,12
2020,279,10
2021,279,7
2022,279,4
2000,280,12
2001,280,12
2002,280,12
2003,280,12
2004,280,12
2005,280,12
2006,280,12
2007,280,12
2008,280,12
2009,280,12
2010,280,12
2011,280,12
2012,280,12
2013,280,12
2014,280,12
2015,280,12
2016,280,12
2017,280,12
2018,280,12
2019,280,12
2020,280,7
2021,280,5
2022,280,2
2000,281,4
2001,281,1
2002,281,1
2004,281,2
2005,281,4
2006,281,1
2007,281,2
2008,281,10
2009,281,4
2010,281,4
2011,281,1
2013,281,1
2014,281,3
2015,281,3
2016,281,6
2017,281,2
2018,281,3
2019,281,5
2020,281,3
2021,281,1
2022,281,2
2000,282,2
2004,282,3
2005,282,2
2008,282,1
2009,282,2
2010,282,1
2011,282,2
2012,282,2
2013,282,7
2014,282,12
2015,282,10
2016,282,6
2017,282,6
2018,282,11
2019,282,12
2020,282,6
2021,282,4
2000,287,3
2001,287,3
2002,287,1
2003,287,1
2004,287,1
2005,287,3
2006,287,12
2007,287,12
2008,287,12
2009,287,12
2010,287,12
2011,287,12
2012,287,12
2013,287,12
2014,287,12
2015,287,12
2016,287,12
2017,287,12
2018,287,10
2019,287,8
2020,287,7
2021,287,10
2022,287,7
2000,288,7
2001,288,10
2002,288,12
2003,288,11
2004,288,12
2005,288,12
2006,288,12
2007,288,9
2008,288,11
2009,288,11
2010,288,11
2011,288,12
2012,288,12
2013,288,12
2014,288,12
2015,288,12
2016,288,12
2017,288,12
2018,288,12
2019,288,12
2020,288,4
2021,288,1
2022,288,1
2000,289,12
2001,289,12
2002,289,12
2003,289,9
2004,289,1
2005,289,9
2006,289,9
2007,289,6
2008,289,8
2009,289,7
2010,289,12
2011,289,8
2012,289,9
2013,289,11
2014,289,12
2015,289,12
2016,289,12
2017,289,12
2018,289,12
2019,289,12
2020,289,3
2021,289,3
2000,290,1
2001,290,5
2002,290,5
2003,290,3
2004,290,1
2005,290,3
2006,290,3
2007,290,4
2008,290,5
2009,290,7
2010,290,9
2011,290,6
2012,290,5
2013,290,6
2014,290,1
2015,290,5
2016,290,6
2017,290,11
2018,290,12
2019,290,11
2020,290,9
2021,290,10
2022,290,6
2000,292,1
2002,292,1
2004,292,1
2005,292,8
2006,292,7
2007,292,6
2012,292,3
2013,292,4
2014,292,3
2015,292,5
2016,292,2
2017,292,4
2018,292,4
2019,292,7
2020,292,4
2021,292,7
2022,292,2
2000,299,5
2001,299,6
2002,299,6
2003,299,9
2004,299,6
2005,299,9
2006,299,8
2007,299,9
2008,299,11
2009,299,12
2010,299,12
2011,299,12
2012,299,12
2013,299,12
2014,299,12
2015,299,12
2016,299,12
2017,299,12
2018,299,12
2019,299,12
2020,299,5
2021,299,3
2022,299,5
2005,300,6
2006,300,2
2007,300,7
2008,300,8
2009,300,12
2010,300,12
2011,300,12
2012,300,7
2013,300,7
2014,300,7
2015,300,9
2016,300,8
2017,300,6
2018,300,8
2019,300,7
2020,300,8
2021,300,5
2022,300,4
2001,301,1
2002,301,1
2005,301,2
2006,301,1
2007,301,1
2009,301,2
2010,301,1
2011,301,2
2012,301,4
2013,301,1
2014,301,1
2015,301,2
2016,301,1
2017,301,2
2018,301,2
2019,301,6
2022,301,1
2002,303,1
2003,303,2
2004,303,1
2005,303,2
2006,303,1
2007,303,2
2008,303,5
2009,303,2
2010,303,5
2011,303,4
2012,303,4
2013,303,6
2014,303,12
2015,303,12
2016,303,12
2017,303,10
2018,303,9
2019,303,7
2020,303,2
2021,303,6
2022,303,1
2000,304,1
2001,304,1
2002,304,3
2003,304,4
2004,304,1
2005,304,5
2006,304,3
2007,304,5
2008,304,10
2009,304,9
2010,304,10
2011,304,9
2012,304,7
2013,304,6
2014,304,10
2015,304,11
2016,304,12
2017,304,12
2018,304,12
2019,304,12
2020,304,2
2021,304,3
2022,304,2
2000,305,12
2001,305,11
2002,305,12
2003,305,12
2004,305,11
2005,305,9
2006,305,11
2007,305,12
2008,305,12
2009,305,12
2010,305,12
2011,305,10
2012,305,12
2013,305,8
2014,305,3
2015,305,3
2016,305,2
2017,305,2
2018,305,1
2019,305,2
2021,305,2
2022,305,1
2000,313,3
2001,313,4
2002,313,5
2003,313,4
2004,313,10
2005,313,11
2006,313,12
2007,313,12
2008,313,12
2009,313,11
2010,313,12
2011,313,12
2012,313,12
2013,313,12
2014,313,12
2015,313,12
2016,313,12
2017,313,12
2018,313,12
2019,313,12
2020,313,6
2021,313,4
2022,313,3
2001,315,1
2002,315,4
2003,315,1
2004,315,3
2005,315,2
2007,315,4
2008,315,3
2009,315,4
2010,315,1
2011,315,2
2012,315,1
2013,315,3
2014,315,6
2015,315,3
2016,315,5
2017,315,5
2018,315,3
2019,315,2
2020,315,1
2021,315,1
2000,316,11
2001,316,12
2002,316,3
2003,316,5
2004,316,8
2005,316,8
2006,316,3
2007,316,6
2008,316,6
2009,316,3
2010,316,3
2011,316,5
2012,316,12
2013,316,12
2014,316,12
2015,316,12
2016,316,12
2017,316,12
2018,316,12
2019,316,12
2020,316,8
2021,316,8
2022,316,5
2000,317,1
2006,317,1
2010,317,1
2011,317,7
2012,317,8
2013,317,4
2014,317,6
2015,317,6
2016,317,3
2017,317,4
2018,317,5
2019,317,6
2020,317,3
2021,317,1
2022,317,1
2000,319,1
2001,319,1
2002,319,1
2003,319,2
2004,319,4
2005,319,2
2006,319,2
2007,319,3
2008,319,5
2009,319,2
2010,319,7
2011,319,8
2012,319,2
2013,319,3
2014,319,3
2015,319,1
2016,319,2
2017,319,4
2018,319,1
2019,319,6
2020,319,5
2021,319,2
2022,319,2
2000,320,2
2001,320,12
2002,320,12
2003,320,12
2004,320,12
2005,320,12
2006,320,12
2007,320,12
2008,320,12
2009,320,12
2010,320,12
2011,320,12
2012,320,12
2013,320,12
2014,320,10
2015,320,11
2016,320,12
2017,320,12
2018,320,12
2019,320,12
2020,320,5
2021,320,5
2022,320,4
2000,321,11
2001,321,8
2002,321,1
2003,321,1
2004,321,1
2005,321,3
2006,321,5
2007,321,12
2008,321,12
2009,321,12
2010,321,12
2011,321,12
2012,321,12
2013,321,12
2014,321,12
2015,321,12
2016,321,12
2017,321,12
2018,321,12
2019,321,12
2020,321,4
2021,321,1
2022,321,2
2000,323,12
2001,323,12
2002,323,12
2003,323,12
2004,323,12
2005,323,12
2006,323,12
2007,323,12
2008,323,12
2009,323,12
2010,323,12
2011,323,12
2012,323,11
2013,323,12
2014,323,9
2015,323,7
2016,323,6
2017,323,7
2018,323,7
2019,323,10
2020,323,9
2021,323,5
2022,323,4
2000,324,12
2001,324,9
2002,324,10
2003,324,12
2004,324,11
2005,324,12
2006,324,12
2007,324,12
2008,324,12
2009,324,12
2010,324,12
2011,324,12
2012,324,12
2013,324,12
2014,324,12
2015,324,12
2016,324,12
2017,324,12
2018,324,12
2019,324,12
2020,324,6
2021,324,3
2022,324,3
2000,326,12
2001,326,12
2002,326,12
2003,326,12
2004,326,12
2005,326,12
2006,326,12
2007,326,12
2008,326,12
2009,326,12
2010,326,12
2011,326,12
2012,326,12
2013,326,12
2014,326,12
2015,326,9
2016,326,7
2017,326,10
2018,326,6
2019,326,8
2020,326,6
2021,326,4
2022,326,1
2003,327,5
2004,327,2
2005,327,1
2006,327,1
2011,327,1
2012,327,2
2014,327,6
2015,327,2
2016,327,5
2017,327,4
2018,327,5
2019,327,5
2020,327,2
2021,327,7
2022,327,5
2000,329,2
2001,329,2
2002,329,2
2003,329,10
2004,329,11
2005,329,9
2006,329,9
2007,329,9
2008,329,9
2009,329,10
2010,329,9
2011,329,7
2012,329,11
2013,329,11
2014,329,9
2015,329,10
2016,329,8
2017,329,10
2018,329,7
2019,329,9
2020,329,9
2021,329,5
2022,329,5
2000,330,1
2001,330,1
2002,330,3
2003,330,2
2004,330,1
2005,330,10
2006,330,12
2007,330,12
2008,330,12
2009,330,12
2010,330,12
2011,330,10
2012,330,11
2013,330,10
2014,330,10
2015,330,10
2016,330,8
2017,330,9
2018,330,11
2019,330,11
2020,330,8
2021,330,9
2022,330,9
2000,333,12
2001,333,12
2002,333,12
2003,333,12
2004,333,12
2005,333,12
2006,333,12
2007,333,12
2008,333,12
2009,333,12
2010,333,12
2011,333,12
2012,333,12
2013,333,12
2014,333,12
2015,333,12
2016,333,12
2017,333,12
2018,333,12
2019,333,11
2020,333,7
2021,333,9
2022,333,11
2000,334,3
2001,334,3
2002,334,1
2003,334,1
2005,334,3
2006,334,12
2007,334,12
2008,334,12
2009,334,12
2010,334,12
2011,334,12
2012,334,12
2013,334,12
2014,334,12
2015,334,12
2016,334,12
2017,334,12
2018,334,10
2019,334,6
2020,334,3
2021,334,8
2022,334,6
2000,335,7
2001,335,6
2002,335,5
2003,335,11
2004,335,7
2005,335,7
2006,335,12
2007,335,12
2008,335,12
2009,335,12
2010,335,12
2011,335,12
2012,335,12
2013,335,12
2014,335,12
2015,335,12
2016,335,12
2017,335,12
2018,335,10
2019,335,9
2020,335,4
2021,335,11
2022,335,8
2000,336,9
2001,336,12
2002,336,12
2003,336,12
2004,336,7
2005,336,4
2006,336,3
2007,336,2
2008,336,2
2009,336,2
2010,336,3
2011,336,8
2012,336,8
2013,336,12
2014,336,12
2015,336,12
2016,336,12
2017,336,12
2018,336,12
2019,336,11
2020,336,5
2021,336,5
2022,336,5
2000,337,7
2001,337,6
2002,337,5
2003,337,11
2004,337,7
2005,337,7
2006,337,12
2007,337,12
2008,337,12
2009,337,12
2010,337,12
2011,337,12
2012,337,12
2013,337,12
2014,337,12
2015,337,12
2016,337,12
2017,337,12
2018,337,10
2019,337,9
2020,337,5
2021,337,10
2022,337,7
2000,338,10
2001,338,12
2002,338,6
2003,338,3
2004,338,4
2005,338,9
2006,338,12
2007,338,12
2008,338,12
2009,338,12
2010,338,12
2011,338,12
2012,338,12
2013,338,12
2014,338,12
2015,338,12
2016,338,12
2017,338,12
2018,338,12
2019,338,12
2020,338,8
2021,338,10
2022,338,8
2000,339,7
2001,339,1
2002,339,1
2003,339,12
2004,339,2
2005,339,7
2006,339,11
2007,339,12
2008,339,10
2009,339,11
2010,339,5
2011,339,4
2012,339,4
2013,339,9
2014,339,5
2015,339,6
2016,339,3
2017,339,4
2018,339,5
2019,339,2
2020,339,3
2021,339,4
2022,339,5
2005,342,1
2008,342,2
2009,342,2
2010,342,1
2011,342,1
2013,342,1
2014,342,2
2015,342,2
2016,342,2
2017,342,2
2018,342,6
2019,342,4
2020,342,6
2021,342,6
2000,349,12
2001,349,12
2002,349,12
2003,349,12
2004,349,12
2005,349,12
2006,349,10
2007,349,7
2008,349,11
2009,349,7
2010,349,8
2011,349,5
2012,349,8
2013,349,10
2014,349,9
2015,349,7
2016,349,9
2017,349,9
2018,349,9
2019,349,9
2020,349,11
2021,349,10
2022,349,4
2000,352,12
2001,352,12
2002,352,12
2003,352,12
2004,352,12
2005,352,12
2006,352,12
2007,352,12
2008,352,11
2009,352,12
2010,352,12
2011,352,12
2012,352,12
2013,352,12
2014,352,12
2015,352,12
2016,352,12
2017,352,12
2018,352,12
2019,352,12
2020,352,7
2021,352,4
2022,352,2
2000,353,12
2001,353,12
2002,353,12
2003,353,12
2004,353,12
2005,353,12
2006,353,12
2007,353,12
2008,353,12
2009,353,12
2010,353,12
2011,353,12
2012,353,12
2013,353,10
2014,353,10
2015,353,12
2016,353,10
2017,353,12
2018,353,10
2019,353,12
2020,353,5
2021,353,6
2022,353,2
2000,355,6
2001,355,1
2002,355,12
2003,355,12
2004,355,12
2005,355,12
2006,355,12
2007,355,12
2008,355,12
2009,355,12
2010,355,12
2011,355,12
2012,355,12
2013,355,12
2014,355,12
2015,355,12
2016,355,12
2017,355,12
2018,355,11
2019,355,12
2020,355,10
2021,355,11
2022,355,9
2000,364,12
2001,364,12
2002,364,11
2003,364,5
2004,364,3
2005,364,5
2006,364,2
2007,364,4
2008,364,3
2009,364,5
2010,364,4
2011,364,3
2012,364,4
2013,364,6
2014,364,7
2015,364,5
2016,364,7
2017,364,8
2018,364,4
2019,364,6
2020,364,4
2021,364,5
2022,364,3
2000,365,12
2001,365,12
2002,365,12
2003,365,12
2004,365,12
2005,365,12
2006,365,12
2007,365,12
2008,365,12
2009,365,12
2010,365,12
2011,365,12
2012,365,12
2013,365,12
2014,365,12
2015,365,12
2016,365,12
2017,365,12
2018,365,12
2019,365,12
2020,365,7
2021,365,6
2022,365,3
2000,374,8
2001,374,6
2002,374,2
2003,374,3
2004,374,2
2005,374,7
2006,374,8
2007,374,4
2008,374,6
2009,374,8
2010,374,10
2011,374,9
2012,374,11
2013,374,10
2014,374,9
2015,374,10
2016,374,10
2017,374,12
2018,374,9
2019,374,8
2020,374,3
2021,374,2
2022,374,1
2000,375,7
2001,375,12
2002,375,12
2003,375,12
2004,375,12
2005,375,12
2006,375,12
2007,375,12
2008,375,12
2009,375,12
2010,375,12
2011,375,12
2012,375,12
2013,375,12
2014,375,12
2015,375,12
2016,375,12
2017,375,12
2018,375,12
2019,375,11
2020,375,7
2021,375,6
2022,375,2
2000,376,7
2001,376,9
2002,376,3
2003,376,5
2004,376,7
2005,376,8
2006,376,11
2007,376,9
2008,376,9
2009,376,8
2010,376,9
2011,376,10
2012,376,11
2013,376,12
2014,376,12
2015,376,12
2016,376,12
2017,376,12
2018,376,12
2019,376,10
2020,376,10
2021,376,11
2022,376,11
