TP,site,N
2020,136,11
2021,136,10
2022,136,4
2000,137,1
2001,137,2
2002,137,2
2003,137,2
2004,137,1
2006,137,4
2007,137,1
2008,137,3
2009,137,2
2010,137,6
2011,137,4
2012,137,6
2013,137,9
2014,137,11
2015,137,12
2016,137,9
2017,137,12
2018,137,11
2019,137,7
2020,137,9
2021,137,8
2022,137,12
2007,138,1
2011,138,1
2012,138,3
2013,138,4
2016,138,2
2017,138,2
2019,138,1
2020,138,3
2021,138,1
2000,139,1
2004,139,10
2006,139,1
2007,139,2
2008,139,4
2009,139,2
2010,139,1
2013,139,2
2014,139,2
2015,139,2
2016,139,4
2017,139,4
2018,139,2
2019,139,3
2020,139,3
2021,139,2
2000,141,3
2001,141,2
2002,141,4
2003,141,7
2004,141,12
2005,141,12
2006,141,12
2007,141,12
2008,141,12
2009,141,12
2010,141,12
2011,141,12
2012,141,12
2013,141,12
2014,141,12
2015,141,12
2016,141,12
2017,141,12
2018,141,12
2019,141,12
2020,141,7
2021,141,3
2022,141,3
2000,142,12
2001,142,12
2002,142,12
2003,142,12
2004,142,12
2005,142,12
2006,142,12
2007,142,12
2008,142,12
2009,142,12
2010,142,12
2011,142,12
2012,142,12
2013,142,12
2014,142,12
2015,142,12
2016,142,12
2017,142,12
2018,142,12
2019,142,12
2020,142,6
2021,142,7
2022,142,7
2002,143,1
2004,143,1
2005,143,3
2006,143,5
2007,143,5
2008,143,5
2009,143,12
2010,143,12
2011,143,11
2012,143,12
2013,143,7
2014,143,6
2015,143,11
2016,143,8
2017,143,8
2018,143,5
2019,143,9
2020,143,3
2021,143,2
2000,144,8
2001,144,9
2002,144,8
2003,144,5
2004,144,9
2005,144,11
2006,144,9
2007,144,12
2008,144,12
2009,144,11
2010,144,9
2011,144,8
2012,144,12
2013,144,12
2014,144,11
2015,144,9
2016,144,9
2017,144,12
2018,144,10
2019,144,10
2020,144,8
2021,144,8
2022,144,7
2000,145,12
2001,145,12
2002,145,12
2003,145,11
2004,145,12
2005,145,12
2006,145,5
2007,145,10
2008,145,9
2009,145,12
2010,145,12
2011,145,12
2012,145,12
2013,145,12
2014,145,12
2015,145,12
2016,145,12
2017,145,12
2018,145,10
2019,145,11
2020,145,9
2021,145,4
2022,145,4
2000,146,12
2001,146,12
2002,146,12
2003,146,10
