tf_id,plant_date,area,trees,lat,lon,date,year,month
364,14 March 2023,200," Apple, crab(Malus sylvestris) ",54.534438,-1.556809,2023-03-14,2023,3
364,14 March 2023,200," Birch, downy(Betula pubescens) ",54.534438,-1.556809,2023-03-14,2023,3
364,14 March 2023,200," Birch, silver(Betula pendula) ",54.534438,-1.556809,2023-03-14,2023,3
364,14 March 2023,200, Blackthorn(Prunus spinosa) ,54.534438,-1.556809,2023-03-14,2023,3
364,14 March 2023,200," Cherry, bird(Prunus padus) ",54.534438,-1.556809,2023-03-14,2023,3
364,14 March 2023,200," Cherry, wild(Prunus avium) ",54.534438,-1.556809,2023-03-14,2023,3
364,14 March 2023,200, Common privet(Ligustrum vulgare) ,54.534438,-1.556809,2023-03-14,2023,3
364,14 March 2023,200, Dog Rose(Rosa canina) ,54.534438,-1.556809,2023-03-14,2023,3
364,14 March 2023,200, Dogwood(Cornus sanguinea) ,54.534438,-1.556809,2023-03-14,2023,3
364,14 March 2023,200, Elder(Sambucus nigra) ,54.534438,-1.556809,2023-03-14,2023,3
364,14 March 2023,200, Hazel(Corylus avellana) ,54.534438,-1.556809,2023-03-14,2023,3
364,14 March 2023,200, Heather(Calluna vulgaris) ,54.534438,-1.556809,2023-03-14,2023,3
364,14 March 2023,200, Hornbeam(Carpinus betulus) ,54.534438,-1.556809,2023-03-14,2023,3
364,14 March 2023,200," Lime, small-leaved(Tilia cordata) ",54.534438,-1.556809,2023-03-14,2023,3
364,14 March 2023,200," Oak, english(Quercus robur) ",54.534438,-1.556809,2023-03-14,2023,3
364,14 March 2023,200," Oak, sessile(Quercus petraea) ",54.534438,-1.556809,2023-03-14,2023,3
364,14 March 2023,200, Rowan(Sorbus aucuparia) ,54.534438,-1.556809,2023-03-14,2023,3
364,14 March 2023,200," Willow, goat(Salix caprea)",54.534438,-1.556809,2023-03-14,2023,3
365,15 March 2023,200,Alder(Alnus glutinosa) ,54.991392,-1.701828,2023-03-15,2023,3
365,15 March 2023,200," Beech, common(Fagus sylvatica) ",54.991392,-1.701828,2023-03-15,2023,3
365,15 March 2023,200," Birch, downy(Betula pubescens) ",54.991392,-1.701828,2023-03-15,2023,3
365,15 March 2023,200," Birch, silver(Betula pendula) ",54.991392,-1.701828,2023-03-15,2023,3
365,15 March 2023,200, Blackthorn(Prunus spinosa) ,54.991392,-1.701828,2023-03-15,2023,3
365,15 March 2023,200," Buckthorn, purging(Rhamnus cathartica) ",54.991392,-1.701828,2023-03-15,2023,3
365,15 March 2023,200," Cherry, bird(Prunus padus) ",54.991392,-1.701828,2023-03-15,2023,3
365,15 March 2023,200," Cherry, wild(Prunus avium) ",54.991392,-1.701828,2023-03-15,2023,3
365,15 March 2023,200, Common privet(Ligustrum vulgare) ,54.991392,-1.701828,2023-03-15,2023,3
365,15 March 2023,200, Dog Rose(Rosa canina) ,54.991392,-1.701828,2023-03-15,2023,3
365,15 March 2023,200, Dogwood(Cornus sanguinea) ,54.991392,-1.701828,2023-03-15,2023,3
365,15 March 2023,200," Elm, wych(Ulmus glabra) ",54.991392,-1.701828,2023-03-15,2023,3
365,15 March 2023,200," Guelder, rose(Viburnum opulus) ",54.991392,-1.701828,2023-03-15,2023,3
365,15 March 2023,200, Hawthorn(Crataegus monogyna) ,54.991392,-1.701828,2023-03-15,2023,3
365,15 March 2023,200, Hazel(Corylus avellana) ,54.991392,-1.701828,2023-03-15,2023,3
365,15 March 2023,200, Heather(Calluna vulgaris) ,54.991392,-1.701828,2023-03-15,2023,3
365,15 March 2023,200, Holly(Ilex aquifolium) ,54.991392,-1.701828,2023-03-15,2023,3
365,15 March 2023,200, Hornbeam(Carpinus betulus) ,54.991392,-1.701828,2023-03-15,2023,3
365,15 March 2023,200," Oak, english(Quercus robur) ",54.991392,-1.701828,2023-03-15,2023,3
365,15 March 2023,200," Oak, sessile(Quercus petraea)",54.991392,-1.701828,2023-03-15,2023,3
366,14 February 2023,200,"Apple, crab(Malus sylvestris) ",52.20999,6.868312,2023-02-14,2023,2
366,14 February 2023,200, Ash(Fraxinus excelsior) ,52.20999,6.868312,2023-02-14,2023,2
366,14 February 2023,200, Aspen(Populus tremula) ,52.20999,6.868312,2023-02-14,2023,2
366,14 February 2023,200," Beech, common(Fagus sylvatica) ",52.20999,6.868312,2023-02-14,2023,2
366,14 February 2023,200," Birch, downy(Betula pubescens) ",52.20999,6.868312,2023-02-14,2023,2
366,14 February 2023,200," Birch, silver(Betula pendula) ",52.20999,6.868312,2023-02-14,2023,2
366,14 February 2023,200," Cherry, bird(Prunus padus) ",52.20999,6.868312,2023-02-14,2023,2
366,14 February 2023,200, Common privet(Ligustrum vulgare) ,52.20999,6.868312,2023-02-14,2023,2
366,14 February 2023,200, Dogwood(Cornus sanguinea) ,52.20999,6.868312,2023-02-14,2023,2
366,14 February 2023,200, Elder(Sambucus nigra) ,52.20999,6.868312,2023-02-14,2023,2
366,14 February 2023,200, European wild pear(Pyrus Pyraster) ,52.20999,6.868312,2023-02-14,2023,2
366,14 February 2023,200," Guelder, rose(Viburnum opulus) ",52.20999,6.868312,2023-02-14,2023,2
366,14 February 2023,200, Hawthorn(Crataegus monogyna) ,52.20999,6.868312,2023-02-14,2023,2
366,14 February 2023,200, Hazel(Corylus avellana) ,52.20999,6.868312,2023-02-14,2023,2
366,14 February 2023,200, Holly(Ilex aquifolium) ,52.20999,6.868312,2023-02-14,2023,2
366,14 February 2023,200, Hornbeam(Carpinus betulus) ,52.20999,6.868312,2023-02-14,2023,2
366,14 February 2023,200," Lime, large-leaved(Tilia platyphyllos) ",52.20999,6.868312,2023-02-14,2023,2
366,14 February 2023,200," Lime, small-leaved(Tilia cordata) ",52.20999,6.868312,2023-02-14,2023,2
366,14 February 2023,200," Maple, field(Acer campestre) ",52.20999,6.868312,2023-02-14,2023,2
366,14 February 2023,200," Oak, english(Quercus robur) ",52.20999,6.868312,2023-02-14,2023,2
366,14 February 2023,200," Oak, sessile(Quercus petraea) ",52.20999,6.868312,2023-02-14,2023,2
366,14 February 2023,200, Rowan(Sorbus aucuparia) ,52.20999,6.868312,2023-02-14,2023,2
366,14 February 2023,200, Spindle(Euonymus europaea),52.20999,6.868312,2023-02-14,2023,2
367,29th May 2023Tiny Forest Science DayWe gaan voor de eerste keer aan de slag met Citizen science op de Hurk. Wat is de status van de ecosysteemdiensten in de BioBooster? En op een parkeerplek midden op ons bedrijventerrein?,2,Alder(Alnus glutinosa) ,51.431607,5.448708,2023-05-29,2023,5
367,29th May 2023Tiny Forest Science DayWe gaan voor de eerste keer aan de slag met Citizen science op de Hurk. Wat is de status van de ecosysteemdiensten in de BioBooster? En op een parkeerplek midden op ons bedrijventerrein?,2, Ash(Fraxinus excelsior) ,51.431607,5.448708,2023-05-29,2023,5
367,29th May 2023Tiny Forest Science DayWe gaan voor de eerste keer aan de slag met Citizen science op de Hurk. Wat is de status van de ecosysteemdiensten in de BioBooster? En op een parkeerplek midden op ons bedrijventerrein?,2," Birch, downy(Betula pubescens) ",51.431607,5.448708,2023-05-29,2023,5
367,29th May 2023Tiny Forest Science DayWe gaan voor de eerste keer aan de slag met Citizen science op de Hurk. Wat is de status van de ecosysteemdiensten in de BioBooster? En op een parkeerplek midden op ons bedrijventerrein?,2," Cherry, bird(Prunus padus) ",51.431607,5.448708,2023-05-29,2023,5
367,29th May 2023Tiny Forest Science DayWe gaan voor de eerste keer aan de slag met Citizen science op de Hurk. Wat is de status van de ecosysteemdiensten in de BioBooster? En op een parkeerplek midden op ons bedrijventerrein?,2," Cherry, wild(Prunus avium) ",51.431607,5.448708,2023-05-29,2023,5
367,29th May 2023Tiny Forest Science DayWe gaan voor de eerste keer aan de slag met Citizen science op de Hurk. Wat is de status van de ecosysteemdiensten in de BioBooster? En op een parkeerplek midden op ons bedrijventerrein?,2," Elm, wych(Ulmus glabra) ",51.431607,5.448708,2023-05-29,2023,5
367,29th May 2023Tiny Forest Science DayWe gaan voor de eerste keer aan de slag met Citizen science op de Hurk. Wat is de status van de ecosysteemdiensten in de BioBooster? En op een parkeerplek midden op ons bedrijventerrein?,2, European wild pear(Pyrus Pyraster) ,51.431607,5.448708,2023-05-29,2023,5
367,29th May 2023Tiny Forest Science DayWe gaan voor de eerste keer aan de slag met Citizen science op de Hurk. Wat is de status van de ecosysteemdiensten in de BioBooster? En op een parkeerplek midden op ons bedrijventerrein?,2, Fluttering ulm(Ulmus laevis) ,51.431607,5.448708,2023-05-29,2023,5
367,29th May 2023Tiny Forest Science DayWe gaan voor de eerste keer aan de slag met Citizen science op de Hurk. Wat is de status van de ecosysteemdiensten in de BioBooster? En op een parkeerplek midden op ons bedrijventerrein?,2," Guelder, rose(Viburnum opulus) ",51.431607,5.448708,2023-05-29,2023,5
367,29th May 2023Tiny Forest Science DayWe gaan voor de eerste keer aan de slag met Citizen science op de Hurk. Wat is de status van de ecosysteemdiensten in de BioBooster? En op een parkeerplek midden op ons bedrijventerrein?,2, Hawthorn(Crataegus monogyna) ,51.431607,5.448708,2023-05-29,2023,5
367,29th May 2023Tiny Forest Science DayWe gaan voor de eerste keer aan de slag met Citizen science op de Hurk. Wat is de status van de ecosysteemdiensten in de BioBooster? En op een parkeerplek midden op ons bedrijventerrein?,2, Hazel(Corylus avellana) ,51.431607,5.448708,2023-05-29,2023,5
367,29th May 2023Tiny Forest Science DayWe gaan voor de eerste keer aan de slag met Citizen science op de Hurk. Wat is de status van de ecosysteemdiensten in de BioBooster? En op een parkeerplek midden op ons bedrijventerrein?,2," Maple, field(Acer campestre) ",51.431607,5.448708,2023-05-29,2023,5
367,29th May 2023Tiny Forest Science DayWe gaan voor de eerste keer aan de slag met Citizen science op de Hurk. Wat is de status van de ecosysteemdiensten in de BioBooster? En op een parkeerplek midden op ons bedrijventerrein?,2," Poplar, black(Poplus nigra) ",51.431607,5.448708,2023-05-29,2023,5
367,29th May 2023Tiny Forest Science DayWe gaan voor de eerste keer aan de slag met Citizen science op de Hurk. Wat is de status van de ecosysteemdiensten in de BioBooster? En op een parkeerplek midden op ons bedrijventerrein?,2, Rowan(Sorbus aucuparia) ,51.431607,5.448708,2023-05-29,2023,5
367,29th May 2023Tiny Forest Science DayWe gaan voor de eerste keer aan de slag met Citizen science op de Hurk. Wat is de status van de ecosysteemdiensten in de BioBooster? En op een parkeerplek midden op ons bedrijventerrein?,2, Sea-buckthorn(Hippophae rhamnoides) ,51.431607,5.448708,2023-05-29,2023,5
367,29th May 2023Tiny Forest Science DayWe gaan voor de eerste keer aan de slag met Citizen science op de Hurk. Wat is de status van de ecosysteemdiensten in de BioBooster? En op een parkeerplek midden op ons bedrijventerrein?,2, Smooth-leaved elm(Ulmus carpinifolia) ,51.431607,5.448708,2023-05-29,2023,5
