tf_id,plant_date,area,trees,date,FID,LSOA11CD,LSOA11NM,LSOA11NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID,lower_super_output_area_2011_name,rural_urban_classification_2011_code,rural_urban_classification_2011_10_fold,rural_urban_classification_2011_2_fold,lat,lon
148,17 November 2021,207,,2021-11-17,7043,E01007235,Wirral 004B,Wirral 004B,330522,392738,-3.04707,53.42685,293343.172821045,2344.22317725986,2f0cd7cb-8126-4857-8892-f8b63275a174,Wirral 004B,A1,Urban major conurbation ,Urban,53.424427,-3.042737
149,06 December 2021,206,,2021-12-06,27927,E01028657,South Oxfordshire 006E,South Oxfordshire 006E,454361,201585,-1.21461,51.71037,4028384.67025757,11573.7471741847,a4d356cf-7fdb-4e4d-b10b-f306757bb2c2,South Oxfordshire 006E,C1  ,Urban city and town  ,Urban,51.718875,-1.231499
150,10 February 2022,200,,2022-02-10,31119,E01031918,Wiltshire 011E,Wiltshire 011E,392815,173554,-2.1048,51.46091,905879.982330322,4120.92595911859,fce3f512-8753-41cc-bc0a-f3e634227493,Wiltshire 011E,C1  ,Urban city and town  ,Urban,51.457095,-2.106602
151,25 February 2022,175,,2022-02-25,1269,E01001288,Ealing 022B,Ealing 022B,515406,181079,-0.33814,51.51685,99045.6950683594,1417.66788986537,10735c0b-564f-4f97-ab74-638071f225e2,Ealing 022B,A1,Urban major conurbation ,Urban,51.516779,-0.337057
164,26 March 2021,202,,2021-03-26,15848,E01016323,West Berkshire 012C,West Berkshire 012C,446047,168986,-1.33919,51.41802,2849005.17974854,10984.9855554197,10441c64-5245-4179-be1b-c442d19f8935,West Berkshire 012C,C1  ,Urban city and town  ,Urban,51.40505,-1.341114
165,15 March 2022,202,,2022-03-15,3560,E01003641,Redbridge 013C,Redbridge 013C,545506,188753,0.098546,51.57886,229453.501876831,2883.73668559861,e5468bd6-752c-4452-907b-4bcccfabae04,Redbridge 013C,A1,Urban major conurbation ,Urban,51.5785149,0.096954
168,28 February 2022,208,,2022-02-28,3170,E01003239,Lewisham 037D,Lewisham 037D,539384,171791,0.003557,51.42799,206256.032051086,1958.05402540163,ba507c8d-072d-45f7-90a5-2ec1d597e149,Lewisham 037D,A1,Urban major conurbation ,Urban,51.427743,0.005939
170,21 March 2022,204,,2022-03-21,7288,E01007485,Doncaster 017C,Doncaster 017C,463753,403872,-1.03975,53.52767,1707333.79466248,6202.85198080865,7ba23f15-21e8-4671-81c6-f0ab8e7e1e2b,Doncaster 017C,B1,Urban minor conurbation,Urban,53.530082,-1.033692
171,23 February 2022,205,,2022-02-23,17924,E01018459,Cheshire East 036A,Cheshire East 036A,369626,357169,-2.4552,53.11085,257906.0727005,2048.85850832767,fa543016-e740-4023-be7b-1331cf791473,Cheshire East 036A,C1  ,Urban city and town  ,Urban,53.110708,-2.457967
172,25 March 2022,200,,2022-03-25,12295,E01012687,Blackpool 014B,Blackpool 014B,334644,433936,-2.9937,53.79762,549986.880828857,3416.05891529247,fec31a59-e23c-4045-8b98-b5b3d83d9c19,Blackpool 014B,C1  ,Urban city and town  ,Urban,53.797216,-2.996618
174,02 February 2022,201,,2022-02-02,10118,E01010424,Wolverhampton 022D,Wolverhampton 022D,395060,297751,-2.07432,52.57756,378899.17754364,3288.16020523461,a583f5ce-8513-4a70-9457-7eda84f26edb,Wolverhampton 022D,A1,Urban major conurbation ,Urban,52.576195,-2.073685
175,21 January 2022,204,,2022-01-21,28747,E01029500,Lichfield 005D,Lichfield 005D,411628,311229,-1.82936,52.69863,578049.734069824,3801.48896085687,1cf9af49-5963-492f-90e6-69a3c82473b4,Lichfield 005D,C1  ,Urban city and town  ,Urban,52.698821,-1.832111
176,18 January 2022,205,,2022-01-18,28765,E01029519,Lichfield 007E,Lichfield 007E,412086,308897,-1.82267,52.67765,529443.905158997,3390.37946271856,b5631a62-c24e-4817-9894-49f9f44fd05b,Lichfield 007E,C1  ,Urban city and town  ,Urban,52.679149,-1.823257
177,17 January 2022,209,,2022-01-17,28772,E01029526,Lichfield 004E,Lichfield 004E,411899,309665,-1.82541,52.68456,643601.443405151,4061.38278549439,c19e76be-930c-4f6f-ad9d-d25439bf63de,Lichfield 004E,C1  ,Urban city and town  ,Urban,52.686275,-1.819246
179,19 January 2022,201,,2022-01-19,28722,E01029475,Lichfield 009A,Lichfield 009A,406155,309097,-1.91039,52.67955,453176.200523376,2761.47451556643,f2b931d7-0cdf-4312-916f-5573c2cf043b,Lichfield 009A,A1,Urban major conurbation ,Urban,52.680666,-1.912416
180,20 January 2022,207,,2022-01-20,28737,E01029490,Lichfield 009D,Lichfield 009D,404937,309596,-1.92839,52.68405,398362.313461304,2531.82927376976,cbcc25a6-4c5f-4c27-831b-cbfbc6f1dc8b,Lichfield 009D,A1,Urban major conurbation ,Urban,52.687002,-1.928311
181,10 January 2022,201,,2022-01-10,10020,E01010326,Walsall 029A,Walsall 029A,402665,298275,-1.96209,52.58229,647102.906188965,3586.94007437587,4571942d-c93c-4caf-a15c-0424dcdc4289,Walsall 029A,A1,Urban major conurbation ,Urban,52.5835074146028,-1.95846134109726
182,11 January 2022,205,,2022-01-11,10019,E01010325,Walsall 024C,Walsall 024C,402120,299772,-1.97013,52.59575,717478.5991745,3548.27650126309,d2be94b5-cffe-415b-999c-c387d2ba7530,Walsall 024C,A1,Urban major conurbation ,Urban,52.594506,-1.975394
183,13 January 2022,210,,2022-01-13,9963,E01010265,Walsall 033D,Walsall 033D,398755,297266,-2.01979,52.57322,923482.046760559,4397.76782716207,09bbe0f5-179b-4e57-8d58-5a85ae22ac7d,Walsall 033D,A1,Urban major conurbation ,Urban,52.569163,-2.019838
184,13 January 2022,210,,2022-01-13,10005,E01010311,Walsall 036C,Walsall 036C,397903,296180,-2.03236,52.56346,431144.028327942,3203.36618739772,a947fe86-833f-497c-b1c1-684d47878d85,Walsall 036C,A1,Urban major conurbation ,Urban,52.561783,-2.02768
